ROUBO,RESID. DAURY RIVA,RUA,PROJETADA T,13,10/1/2016,15:30:00
FURTO,RESID. DAURY RIVA,AVENIDA,UNIÂO DO NORTE,QD 31,8/4/2016,19:00:00
HOMICÍDIO DOLOSO,RESID. DAURY RIVA,RUA,A,,9/12/2016,21:30:00
FURTO,RESID. DAURY RIVA,RUA,ALCIDES FAGANELLO,4164,12/21/2016,05:15:00
FURTO,RESID. DAURY RIVA,RUA,ALCIDES FAGANELO,,7/28/2016,11:40:00
FURTO,RESID. DAURY RIVA,AVENIDA,ANDRE MAGGI,,9/17/2016,11:10:00
HOMICÍDIO DOLOSO,RESID. DAURY RIVA,AVENIDA,ANDRE MAGGI,,5/22/2016,06:40:00
FURTO,RESID. DAURY RIVA,RUA,P,,9/19/2016,
FURTO,RESID. DAURY RIVA,RUA,PROJETA A,18,8/29/2016,23:00:00
FURTO,RESID. DAURY RIVA,RUA,PROJETADA A,QD 41,12/29/2016,17:20:00
ROUBO,RESID. DAURY RIVA,RUA,PROJETADA A,,9/29/2016,16:00:00
ROUBO,RESID. DAURY RIVA,RUA,PROJETADA K,,8/18/2016,
FURTO,RESID. DAURY RIVA,RUA,PROJETADA T,Q20,8/30/2016,06:30:00
USO ILÍCITO DE DROGAS,RESID. DAURY RIVA,RUA,R,,7/10/2016,20:50:00
FURTO,RESID. DAURY RIVA,RUA,ROQUE GOMES MOREIRA,,7/22/2016,10:00:00
FURTO,RESID. DAURY RIVA,AVENIDA,UNIAO DO NORTE,3,7/13/2016,21:20:00
FURTO,RESID. DAURY RIVA,AVENIDA,UNIAO DO NORTE,7,11/29/2016,22:00:00
FURTO,RESID. DAURY RIVA,RUA,UNIÃO DO NORTE,Q59,8/25/2016,17:20:00
FURTO,RESID. DAURY RIVA,AVENIDA,UNIÃO DO NORTE,,7/1/2016,
FURTO,RESID. DAURY RIVA,,,,8/26/2016,17:00:00
FURTO,RESID. DAURY RIVA,,,,7/13/2016,16:00:00
FURTO,RESID. DAURY RIVA,,,Q 17,12/20/2016,08:00:00
FURTO,RESID. DAURY RIVA,RUA,A,,7/21/2016,15:00:00
FURTO,RESID. DAURY RIVA,RUA,PROJETADA A,14,5/11/2016,09:00:00
FURTO,RESID. DAURY RIVA,RUA,PROJETADA T,9,7/12/2016,14:30:00
ROUBO,RESID. DAURY RIVA,RUA,PROJETADA T,1076,11/22/2016,17:30:00
FURTO,RESID. DAURY RIVA,RUA,PROJETADA T,Q-26,9/5/2016,14:00:00
FURTO,RESID. DAURY RIVA,RUA,R,,9/20/2016,10:00:00
FURTO,SETOR INDUSTRIAL,AVENIDA,CASCAVEL,364,7/8/2016,08:00:00
FURTO,SETOR INDUSTRIAL,AVENIDA,JOAO MOREIRA PEDRO CARVALHO,,8/18/2016,19:00:00
FURTO,SETOR INDUSTRIAL,RUA,JOÃO PEDRO MOREIRA DE CARVALHO,,9/20/2016,17:58:00
FURTO,SETOR INDUSTRIAL SUL,AVENIDA,CASCAVEL,128,10/28/2016,02:49:00
FURTO,ZONA RURAL,ESTRADA,ALZIRA,,5/22/2016,10:00:00
ROUBO,ZONA RURAL,ESTRADA,ESTRADA DALGISA,180-D,8/28/2016,00:30:00
FURTO,ZONA RURAL,,,,7/12/2016,13:00:00
FURTO,ZONA RURAL,,,,10/13/2016,23:30:00
FURTO,ZONA RURAL,,,,9/22/2016,07:30:00
FURTO,ZONA RURAL,ESTRADA,ALZIRA,,11/13/2016,15:00:00
FURTO,ZONA RURAL,ESTRADA,MT 220,,9/25/2016,14:00:00
FURTO,FLORAIS DA AMAZÔNIA,RUA,3,1992,6/23/2016,13:00:00
FURTO,FLORAIS DA AMAZÔNIA,RUA,JOÃO PEDRO MOREIRA DE CARVALHO,6650,10/25/2016,21:00:00
FURTO,FLORAIS DA AMAZÔNIA,RUA,JOÃO PEDRO MOREIRA DE CARVALHO,,7/29/2016,23:00:00
FURTO,RESID. GENTE FELIZ,RUA,11,35,11/14/2016,02:00:00
ROUBO,RESID. GENTE FELIZ,AVENIDA,INTEGRAÇÃO,,6/1/2016,06:50:00
FURTO,ZONA RURAL,ESTRADA,TRAVESSÃO CORREGO FUNDO,397,11/17/2016,15:29:00
FURTO,ZONA RURAL,,,,10/19/2016,16:00:00
FURTO,GLEBA MERCEDES,ESTRADA,GLEBA MERCEDES 5,,12/3/2016,02:00:00
FURTO,GLEBA MERCEDES,ESTRADA,MATRINCHÃ,,5/18/2016,16:00:00
FURTO,SÃO CRISTÓVÃO,,,3912,7/18/2016,14:36:00
TRÁFICO ILÍCITO DE DROGAS,HABITAR BRASIL,RUA,ANTURIOS,,7/21/2016,21:05:00
