ROUBO,SETOR COMERCIAL,AVENIDA,DAS EMBAUBAS,,11/19/2016,11:10:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS EMBAUBAS,,10/22/2016,01:17:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS EMBAUBAS,,10/20/2016,16:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS EMBAÚBAS,2512,5/9/2016,17:40:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS EMBAUBAS 675,675,9/26/2016,08:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,1952,6/10/2016,01:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,9/2/2016,10:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,8/10/2016,18:28:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,836,7/20/2016,07:15:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,2113,7/12/2016,07:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,8/12/2016,10:43:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,7/28/2016,18:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,6/14/2016,12:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,12/26/2016,22:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,12/24/2016,11:10:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,11/28/2016,11:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS FIGUEIRAS,,11/24/2016,22:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,4001,12/7/2016,11:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,2668,8/25/2016,21:40:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,4001,6/6/2016,20:05:00
HOMICÍDIO CULPOSO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,7/11/2016,02:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,12/8/2016,15:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,11/16/2016,18:20:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,4001,12/3/2016,12:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,4290,10/22/2016,01:10:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,12/14/2016,21:45:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,10/6/2016,15:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,8/28/2016,19:40:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,8/19/2016,05:25:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,8/10/2016,08:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,7/7/2016,20:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,7/23/2016,05:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,7/22/2016,19:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,7/12/2016,09:20:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,6/12/2016,08:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,5/8/2016,16:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,5/3/2016,15:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,12/8/2016,17:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,12/24/2016,10:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,12/2/2016,09:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,12/12/2016,11:45:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,12/1/2016,21:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,11/16/2016,03:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,10/24/2016,16:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,10/23/2016,01:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,10/19/2016,14:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS,,10/14/2016,17:04:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS ITAUBAS/RUA DOS CAJUEIROS,,9/27/2016,22:00:00
FURTO,SETOR COMERCIAL,RUA,DAS MAGNOLIAS,239,11/28/2016,04:40:00
ROUBO,SETOR COMERCIAL,RUA,DAS MAGNOLIAS,,9/28/2016,22:40:00
ROUBO,SETOR COMERCIAL,RUA,DAS MELIAS,116,6/11/2016,21:21:00
FURTO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,,11/25/2016,15:00:00
ROUBO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,545,7/8/2016,10:30:00
FURTO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,577,7/18/2016,06:30:00
FURTO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,577,7/18/2016,06:30:00
ROUBO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,1838,5/7/2016,00:35:00
FURTO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,,9/20/2016,09:00:00
FURTO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,,6/6/2016,12:00:00
FURTO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,,5/12/2016,15:00:00
FURTO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,,12/30/2016,10:30:00
,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,,12/30/2016,10:30:00
FURTO,SETOR COMERCIAL,RUA,DAS NOGUEIRAS,,12/13/2016,16:30:00
ROUBO,SETOR COMERCIAL,RUA,DAS ORQUIDEAS,1587,6/9/2016,14:15:00
FURTO,SETOR COMERCIAL,RUA,DAS ORQUIDEAS,1755,5/29/2016,05:33:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS PALMEIRAS,1305,5/5/2016,19:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS PALMEIRAS,1534,7/11/2016,01:20:00
HOMICÍDIO CULPOSO,SETOR COMERCIAL,AVENIDA,DAS PALMEIRAS,2067,12/25/2016,20:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS PALMEIRAS,,9/16/2016,20:30:00
USO ILÍCITO DE DROGAS,SETOR COMERCIAL,AVENIDA,DAS PALMEIRAS,,7/9/2016,22:20:00
FURTO,SETOR COMERCIAL,RUA,DAS PILEIAS,35,9/8/2016,
FURTO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,617,7/21/2016,17:45:00
FURTO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,10,7/19/2016,21:10:00
FURTO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,274,5/21/2016,06:00:00
FURTO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,332,7/21/2016,14:00:00
ROUBO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,371,8/10/2016,16:10:00
ROUBO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,,8/15/2016,16:30:00
ROUBO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,,7/30/2016,09:00:00
ROUBO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,,7/3/2016,10:10:00
ROUBO,SETOR COMERCIAL,RUA,DAS PITANGUEIRAS,,11/26/2016,21:40:00
FURTO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,2967,5/3/2016,07:40:00
FURTO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,3388,7/25/2016,15:00:00
FURTO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,6,5/2/2016,22:23:00
FURTO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,1004,5/4/2016,14:50:00
FURTO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,3100,9/23/2016,02:00:00
ROUBO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,,9/18/2016,15:30:00
ROUBO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,,7/20/2016,20:20:00
FURTO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,,7/19/2016,15:30:00
FURTO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,,6/20/2016,09:05:00
FURTO,SETOR COMERCIAL,RUA,DAS PRIMAVERAS,,6/14/2016,10:00:00
FURTO,SETOR COMERCIAL,RUA,DAS ROSAS,,5/4/2016,01:10:00
FURTO,SETOR COMERCIAL,RUA,DAS ROSAS,656,11/23/2016,04:00:00
FURTO,SETOR COMERCIAL,RUA,DAS ROSAS,656,11/23/2016,04:00:00
ROUBO,SETOR COMERCIAL,RUA,DAS ROSAS,850,9/3/2016,20:25:00
ROUBO,SETOR COMERCIAL,RUA,DAS ROSAS,850,7/3/2016,22:25:00
ROUBO,SETOR COMERCIAL,RUA,DAS ROSAS,850,12/18/2016,08:20:00
FURTO,SETOR COMERCIAL,RUA,DAS ROSAS,1462,8/23/2016,23:00:00
FURTO,SETOR COMERCIAL,RUA,DAS ROSAS,,9/23/2016,03:00:00
ROUBO,SETOR COMERCIAL,RUA,DAS ROSAS,,5/25/2016,09:40:00
ROUBO,SETOR COMERCIAL,RUA,DAS ROSAS,,11/4/2016,01:00:00
TRÁFICO ILÍCITO DE DROGAS,SETOR COMERCIAL,RUA,DAS ROSAS,,11/4/2016,01:00:00
USO ILÍCITO DE DROGAS,SETOR COMERCIAL,AVENIDA,DAS SAUDADES,,12/22/2016,01:20:00
ROUBO,SETOR COMERCIAL,RUA,DAS SERINGUEIRAS,,12/6/2016,22:30:00
ROUBO,SETOR COMERCIAL,RUA,DAS SERINGUEIRAS,,12/2/2016,07:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS SIBIPIRUNAS,2882,9/24/2016,08:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS SIBIPIRUNAS,3322,5/27/2016,07:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS SIBIPIRUNAS,3411,8/19/2016,13:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS SIBIPIRUNAS,3797,9/2/2016,08:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DAS SIBIPIRUNAS,4051,11/11/2016,19:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS SIBIPIRUNAS,,7/29/2016,14:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS SIBIPIRUNAS,,12/13/2016,21:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DAS SIBIPIRUNAS,,11/21/2016,15:00:00
ROUBO,SETOR COMERCIAL,RUA,DAS TÍLIAS,113A,5/31/2016,22:30:00
FURTO,SETOR COMERCIAL,RUA,DAS VIOLETAS,267,5/26/2016,05:30:00
FURTO,SETOR COMERCIAL,RUA,DAS VIOLETAS,300B,10/29/2016,04:00:00
ROUBO,SETOR COMERCIAL,RUA,DAS VIOLETAS,,8/2/2016,21:35:00
USO ILÍCITO DE DROGAS,SETOR COMERCIAL,RUA,DAS VIOLETAS,,7/10/2016,22:20:00
ROUBO,SETOR COMERCIAL,RUA,DAS VIOLETAS,,5/9/2016,06:50:00
ROUBO,SETOR COMERCIAL,RUA,DAS VIOLETAS,,12/22/2016,17:30:00
FURTO,SETOR COMERCIAL,RUA,DOS ALAMOS,,9/27/2016,
ROUBO,SETOR COMERCIAL,RUA,DOS ALAMOS,,5/2/2016,
FURTO,SETOR COMERCIAL,RUA,DOS ANGICOS,506,11/14/2016,02:00:00
FURTO,SETOR COMERCIAL,RUA,DOS ANGICOS,418,5/21/2016,07:00:00
HOMICÍDIO DOLOSO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,8/28/2016,02:00:00
FURTO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,87,5/5/2016,15:00:00
ROUBO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,734,6/20/2016,22:00:00
FURTO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,1375,9/14/2016,07:00:00
ROUBO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,9/9/2016,20:00:00
ROUBO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,9/9/2016,22:30:00
ROUBO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,9/7/2016,20:00:00
FURTO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,9/29/2016,15:00:00
FURTO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,9/22/2016,12:30:00
FURTO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,8/13/2016,03:00:00
ROUBO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,7/12/2016,10:00:00
FURTO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,5/16/2016,20:00:00
ROUBO,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,5/13/2016,23:40:00
USO ILÍCITO DE DROGAS,SETOR COMERCIAL,RUA,DOS CAJUEIROS,,11/11/2016,00:00:00
FURTO,SETOR COMERCIAL,RUA,DOS EUCALIPTOS,80,10/5/2016,04:00:00
ROUBO,SETOR COMERCIAL,RUA,DOS EUCALIPTOS,,11/14/2016,06:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DOS INGAS,,5/19/2016,09:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS INGÁS,,5/6/2016,07:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,,11/26/2016,21:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,2602,9/6/2016,09:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,3685,6/2/2016,15:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,,9/26/2016,14:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,,7/26/2016,15:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,,7/11/2016,13:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,,6/15/2016,09:30:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,,5/11/2016,19:15:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,,10/30/2016,12:45:00
USO ILÍCITO DE DROGAS,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS,,10/17/2016,16:00:00
FURTO,SETOR COMERCIAL,AVENIDA,DOS JACARANDAS C CAVIUNAS,,10/30/2016,09:45:00
USO ILÍCITO DE DROGAS,SETOR COMERCIAL,RUA,DOS LIRIOS,,5/13/2016,15:30:00
ROUBO,SETOR COMERCIAL,RUA,DOS LIRIOS,,11/21/2016,08:20:00
FURTO,SETOR COMERCIAL,RUA,DOS LIRIOS,,10/4/2016,13:00:00
FURTO,SETOR COMERCIAL,RUA,DOS MANACAS,2905,6/24/2016,10:00:00
FURTO,SETOR COMERCIAL,RUA,DOS SALGUEIROS,185,10/28/2016,17:30:00
HOMICÍDIO DOLOSO,SETOR COMERCIAL,AVENIDA,DOS TARUMÃS,,5/1/2016,21:20:00
ROUBO,SETOR COMERCIAL,AVENIDA,DOS TARUMÃS,,12/23/2016,21:30:00
FURTO,SETOR COMERCIAL,AVENIDA,EMBAUBA,,8/25/2016,20:30:00
ROUBO,SETOR COMERCIAL,RUA,EMBAÚBA,,8/13/2016,20:15:00
FURTO,SETOR COMERCIAL,AVENIDA,EMBAUBAS,469,7/26/2016,04:00:00
FURTO,SETOR COMERCIAL,AVENIDA,EMBAUBAS,1386,9/12/2016,15:40:00
FURTO,SETOR COMERCIAL,AVENIDA,EMBAUBAS,1979,10/5/2016,01:16:00
FURTO,SETOR COMERCIAL,AVENIDA,EMBAUBAS,,8/12/2016,
ROUBO,SETOR COMERCIAL,AVENIDA,EMBAUBAS,,10/7/2016,20:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,EMBAUBAS,,10/30/2016,22:40:00
FURTO,SETOR COMERCIAL,RUA,EUCALIPTUS,,10/8/2016,23:40:00
FURTO,SETOR COMERCIAL,AVENIDA,FIGUEIRAS,959,9/5/2016,09:00:00
FURTO,SETOR COMERCIAL,AVENIDA,FIGUEIRAS,,6/16/2016,19:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,FIGUEIRAS,,9/26/2016,18:30:00
FURTO,SETOR COMERCIAL,AVENIDA,FIGUEIRAS,,9/12/2016,18:20:00
FURTO,SETOR COMERCIAL,AVENIDA,FIGUEIRAS,,9/10/2016,13:00:00
FURTO,SETOR COMERCIAL,AVENIDA,FIGUEIRAS,,5/3/2016,19:15:00
FURTO,SETOR COMERCIAL,AVENIDA,FIGUEIRAS,,5/13/2016,21:30:00
FURTO,SETOR COMERCIAL,RUA,G 1,84,11/30/2016,15:40:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV JULIO CAMPOS,267,10/24/2016,09:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV JULIO CAMPOS,615,11/8/2016,13:20:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV JULIO CAMPOS,694,8/19/2016,07:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOV JULIO CAMPOS,890,11/4/2016,15:40:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV JULIO CAMPOS,,8/3/2016,17:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV JULIO CAMPOS,,7/20/2016,16:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOV JULIO CAMPOS,,10/30/2016,08:50:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,71,9/16/2016,05:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,167,8/22/2016,03:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,607,9/17/2016,14:15:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,831,9/1/2016,10:30:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,1245,8/2/2016,08:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,9/19/2016,21:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,10/9/2016,02:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,9/7/2016,07:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,9/6/2016,14:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,9/26/2016,16:50:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,8/7/2016,13:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,7/3/2016,03:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,6/10/2016,14:46:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,5/30/2016,16:15:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,5/29/2016,22:20:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,10/15/2016,19:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOV. JULIO CAMPOS,,10/1/2016,16:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPO,528,10/20/2016,12:30:00
FURTO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPO,,8/1/2016,08:41:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,,10/28/2016,03:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,163,11/17/2016,10:00:00
FURTO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,331,6/10/2016,18:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,,9/9/2016,18:45:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,,9/28/2016,11:52:00
FURTO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,,8/6/2016,18:00:00
HOMICÍDIO DOLOSO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,,6/24/2016,04:36:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,,10/19/2016,23:30:00
FURTO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JULIO CAMPOS,,10/1/2016,09:40:00
FURTO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JÚLIO CAMPOS,681,7/30/2016,07:40:00
ROUBO,SETOR COMERCIAL,AVENIDA,GOVERNADOR JÚLIO CAMPOS,,7/26/2016,23:30:00
FURTO,SETOR COMERCIAL,RUA,GRAVIOLAS,248,12/5/2016,
ROUBO,SETOR COMERCIAL,RUA,GRAVIOLAS,,12/27/2016,19:30:00
FURTO,SETOR COMERCIAL,RUA,GREVÍLEAS,,5/23/2016,16:00:00
FURTO,SETOR COMERCIAL,RUA,HORTENCIAS,1145,10/12/2016,
FURTO,SETOR COMERCIAL,RUA,IMBES,93,9/4/2016,12:40:00
FURTO,SETOR COMERCIAL,AVENIDA,INGAS,2610,7/11/2016,04:00:00
FURTO,SETOR COMERCIAL,AVENIDA,INGAS,,9/3/2016,21:00:00
FURTO,SETOR COMERCIAL,AVENIDA,INGAS,,12/1/2016,20:00:00
USO ILÍCITO DE DROGAS,SETOR COMERCIAL,AVENIDA,INGAS,,11/1/2016,18:30:00
FURTO,SETOR COMERCIAL,AVENIDA,INGÁS,,9/8/2016,00:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,INGÁS,,9/5/2016,00:40:00
ROUBO,SETOR COMERCIAL,AVENIDA,ITAUBAS,3312,8/18/2016,22:50:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,11/1/2016,10:00:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,9/9/2016,12:00:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,9/26/2016,14:00:00
TRÁFICO ILÍCITO DE DROGAS,SETOR COMERCIAL,AVENIDA,ITAUBAS,,9/24/2016,13:25:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,9/12/2016,10:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,8/31/2016,12:55:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,8/24/2016,09:30:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,8/17/2016,23:40:00
HOMICÍDIO DOLOSO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,8/11/2016,20:10:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,7/19/2016,11:00:00
HOMICÍDIO CULPOSO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,7/10/2016,04:00:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,6/28/2016,09:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,5/9/2016,07:20:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,12/2/2016,17:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,11/3/2016,05:30:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,10/31/2016,17:30:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAUBAS,,10/25/2016,12:00:00
FURTO,SETOR COMERCIAL,AVENIDA,ITAÚBAS,,7/2/2016,10:30:00
FURTO,SETOR COMERCIAL,RUA,J 2,97,12/18/2016,12:00:00
ROUBO,SETOR COMERCIAL,RUA,J 2,97-a,12/12/2016,13:00:00
FURTO,SETOR COMERCIAL,RUA,J-2,46,10/30/2016,09:00:00
ROUBO,SETOR COMERCIAL,RUA,JABORANDIS,,9/21/2016,12:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,9/16/2016,12:02:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,12/2/2016,09:53:00
ROUBO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,8/19/2016,22:00:00
USO ILÍCITO DE DROGAS,SETOR COMERCIAL,AVENIDA,JACARANDAS,,8/16/2016,15:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,8/14/2016,15:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,5/31/2016,16:20:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,3800,8/25/2016,11:15:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,3800,6/29/2016,17:27:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,3800,12/5/2016,14:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,3800,12/13/2016,10:20:00
ROUBO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,8/5/2016,08:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,8/29/2016,20:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,8/22/2016,10:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,6/27/2016,17:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,12/20/2016,20:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,11/10/2016,13:30:00
ROUBO,SETOR COMERCIAL,AVENIDA,JACARANDAS,,10/21/2016,21:30:00
TRÁFICO ILÍCITO DE DROGAS,SETOR COMERCIAL,AVENIDA,JACARANDAS,,10/17/2016,17:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,JEQUITIBAS,,8/20/2016,01:40:00
ROUBO,SETOR COMERCIAL,RUA,JUÇARAS,,9/29/2016,12:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,143,8/22/2016,08:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,667,10/4/2016,16:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,831,9/8/2016,16:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,890,9/24/2016,10:30:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,99999,5/28/2016,19:30:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,,9/15/2016,22:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,,9/18/2016,00:40:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,,7/26/2016,09:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,,5/19/2016,11:25:00
FURTO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,,12/29/2016,
ROUBO,SETOR COMERCIAL,AVENIDA,JULHO CAMPOS,,10/7/2016,16:05:00
FURTO,SETOR COMERCIAL,AVENIDA,JULIO CAMPOS,455,12/24/2016,05:00:00
FURTO,SETOR COMERCIAL,AVENIDA,JULIO CAMPOS,681,12/8/2016,10:00:00
ROUBO,SETOR COMERCIAL,AVENIDA,JULIO CAMPOS,1189,9/2/2016,02:30:00
