FURTO,PARQUE DAS ARARAS,AVENIDA,SIBIPIRUNAS,,7/31/2016,10:00:00
FURTO,PARQUE DAS ARARAS,AVENIDA,SIBIPIRUNAS,,7/31/2016,10:00:00
FURTO,CELESTE,AVENIDA,SIBIPIRUNAS,,6/23/2016,18:00:00
FURTO,JARDIM CELESTE,AVENIDA,SIBIPIRUNAS,,6/11/2016,15:47:00
ROUBO,JARDIM PRIMAVERAS,AVENIDA,SIBIPIRUNAS,,5/2/2016,06:45:00
FURTO,JD PRIMAVERA,AVENIDA,SIBIPIRUNAS,,5/13/2016,22:51:00
ROUBO,JARDIM JACARANDAS,AVENIDA,SIBIPIRUNAS,,12/2/2016,00:30:00
FURTO,CENTRO,AVENIDA,SIBIPIRUNAS,,11/18/2016,05:55:00
ROUBO,CENTRO,AVENIDA,SIBIPIRUNAS,,11/15/2016,05:30:00
FURTO,JARDIM CELESTE,AVENIDA,SIBIPIRUNAS,,11/12/2016,12:15:00
FURTO,CENTRO,AVENIDA,SIBIPIRUNAS,,10/4/2016,01:00:00
FURTO,CENTRO,AVENIDA,SIBIPIRUNAS,,10/4/2016,14:00:00
FURTO,CENTROS,AVENIDA,SIBIPIRUNAS,,10/26/2016,09:00:00
FURTO,RESIDENCIAL JARDIM ARAGUAIA,RUA,SERRA NOVA DOURADA,Q 29,10/23/2016,08:00:00
FURTO,JD BOTANICO,RUA,SERINGUEIRAS,1200,11/22/2016,18:00:00
FURTO,JARDIM PARAISO,RUA,SERINGUEIRAS,2206,11/17/2016,11:00:00
FURTO,MARINGA II,RUA,SERINGUEIRAS,2836,11/27/2016,
ROUBO,JARDIM BOTANICO,RUA,SERINGUEIRAS,,12/11/2016,21:30:00
ROUBO,JARDIM OLIVEIRAS II,AVENIDA,SENADOR JONAS PINHEIROS(PERIMETRAL NORTE),2,6/27/2016,21:45:00
FURTO,COMUNIDADE AGUAS CLARAS,ESTRADA,SELENE,3,7/12/2016,22:00:00
ROUBO,COMUNIDADE SELENE,ESTRADA,SELENE,4,6/30/2016,19:00:00
FURTO,ZONA RURAL,ESTRADA,SELENE,63,10/12/2016,
FURTO,RESIDENCIAL DELTA,RUA,SEBASTIÃO SALLES MENDES,1650,12/20/2016,03:00:00
FURTO,JARDIM NOVO ESTADO,RUA,SEBASTIÃO SALES MENDES,415,8/15/2016,22:00:00
FURTO,JARDIM BOA ESPERANÇA,RUA,SEBASTIÃO SALES MENDES,2260,11/19/2016,02:00:00
FURTO,JARDIM SÃO PAULO 1,RUA,SEBASTIAO SALES MENDES,3120,6/4/2016,
FURTO,SEBASTIAO DE MATOS I,AVENIDA,SEBASTIÃO DE MATOS,,9/27/2016,00:00:00
FURTO,SEBASTIAO DE MATOS I,AVENIDA,SEBASTIÃO DE MATOS,,9/19/2016,00:00:00
FURTO,SEBASTIÃO DE MATOS,AVENIDA,SEBASTIÃO DE MATOS,,9/19/2016,22:00:00
FURTO,SEBASTIAO DE MATOS I,AVENIDA,SEBASTIÃO DE MATOS,,9/14/2016,00:00:00
FURTO,SEBASTIAO DE MATOS I,AVENIDA,SEBASTIÃO DE MATOS,,9/13/2016,10:30:00
ROUBO,JARDIM VIOLETAS,RUA,SAPUCAIAS,238,11/19/2016,23:30:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,387,5/29/2016,21:30:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,957,10/30/2016,10:00:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,1228,8/5/2016,02:00:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,1258,12/30/2016,18:00:00
FURTO,JARDIM VIOLETAS,RUA,SAPUCAIAS,1315,11/11/2016,03:00:00
FURTO,JARDIM UMUARAMA II,RUA,SAO JOSE GONÇALVES,,11/22/2016,15:00:00
ROUBO,RESIDENCIAL SAO FRANCISCO,AVENIDA,SÃO FRANCISCO,,11/23/2016,16:35:00
USO ILÍCITO DE DROGAS,RESIDENCIAL SAO FRANCISCO,AVENIDA,SÃO FRANCISCO,,11/23/2016,16:35:00
FURTO,SÃO CRISTOVÃO,RUA,SÃO CRISTOVÃO,296,6/20/2016,07:00:00
TRÁFICO ILÍCITO DE DROGAS,SAO CRISTOVAO,RUA,SAO CRISTOVAO,,10/15/2016,05:10:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM PAULISTA,RUA,SANTOS DUMONT,490,8/30/2016,21:30:00
FURTO,JARDIM PAULISTA,RUA,SANTOS DUMONT,,12/15/2016,09:20:00
FURTO,SAO FRANCISCO,RUA,SANTO EXPEDITO,13,5/18/2016,00:30:00
FURTO,SETOR INDUSTRIAL,RUA,SANTAREM,74,10/25/2016,15:00:00
FURTO,JARDIM PAULISTA 1,RUA,SANTANA,597,11/26/2016,12:00:00
FURTO,JARDIM PAULISTA 1,RUA,SANTANA,597,11/26/2016,19:30:00
ROUBO,JARDIM PAULISTA II,RUA,SANTANA,886,9/3/2016,19:10:00
ROUBO,PAULISTA 2,RUA,SANTANA,886,9/3/2016,20:00:00
ROUBO,JARDIM UMUARAMA II,RUA,SAMARIA,532,8/6/2016,09:00:00
ROUBO,JARDIM UMUARAMA I,RUA,SAMARIA,532,8/6/2016,09:10:00
ROUBO,JARDIM UMUARAMA,RUA,SAMARIA,,8/6/2016,09:00:00
FURTO,JACARANDAS,RUA,SAMAMBAIAS,504,11/29/2016,23:39:00
FURTO,JARDIM PRIMAVERAS,RUA,SALVIAS,196,9/11/2016,11:00:00
FURTO,JARDIM PRIMAVERAS,RUA,SALVIAS,372,9/22/2016,10:00:00
FURTO,JARDIM PORTINARI,RUA,SAGRADA FAMILIA,10,11/14/2016,10:00:00
FURTO,VILA SANTANA,ESTRADA,SABRINA,541,8/19/2016,18:00:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS I,ESTRADA,SABRINA,,8/23/2016,17:00:00
FURTO,JARDIM BOA VISTA,ESTRADA,SABRINA,,8/14/2016,21:30:00
FURTO,BOA VISTA,ESTRADA,SABRINA,,8/14/2016,21:30:00
ROUBO,MENINO JESUS,ESTRADA,SABRINA,,5/3/2016,20:30:00
ROUBO,BOA VISTA,ESTRADA,SABRINA,,5/21/2016,06:10:00
TRÁFICO ILÍCITO DE DROGAS,JD BOA VISTA,ESTRADA,SABRINA,,5/2/2016,14:00:00
ROUBO,UMUARAMA 2,ESTRADA,SABRINA,,10/30/2016,20:15:00
HOMICÍDIO DOLOSO,BOA VISTA,ESTRADA,SABRINA,,10/29/2016,23:30:00
ROUBO,VILA SANTANA,ESTRADA,SABRINA,,10/26/2016,08:54:00
USO ILÍCITO DE DROGAS,ZONA RURAL,ESTRADA,SABLINA,,9/21/2016,18:00:00
FURTO,JARDIM PARAISO III,RUA,SABARAS,573,7/14/2016,03:00:00
FURTO,JARDIM IMPORÃ,AVENIDA,RUTH DE SOUZA SILVA,Q02,10/2/2016,06:00:00
ROUBO,CHACARA TAPAJOS,ESTRADA,RUTH,61,11/9/2016,22:30:00
FURTO,LIC NORTE,ESTRADA,RUTE,,11/6/2016,05:00:00
FURTO,MENINO JESUS I,RUA,RUA UM,,12/24/2016,21:00:00
FURTO,RESIDENCIAL BURITIS,RUA,"RUA SANTO EXPEDITO, QUADRA 26, LOTE 20",,11/15/2016,20:00:00
FURTO,JARDIM UMUARAMA I,RUA,RUA SAMARIA,510,6/8/2016,19:40:00
ROUBO,JD IPIRANGA,RUA,RUA RIO ARINOS,,10/18/2016,19:30:00
FURTO,CAMPI CLUBE,RUA,RUA PIRAIBA QUADRA 17 LOTE 28,135,12/14/2016,
FURTO,JARDIM PARAISO II,RUA,RUA PALMAS,,11/25/2016,09:00:00
FURTO,JARDIM ITALIA I,RUA,RUA LUCCA,66,11/1/2016,07:30:00
FURTO,JARDIM ITALIA I,RUA,RUA LUCCA,1405,11/1/2016,07:30:00
TRÁFICO ILÍCITO DE DROGAS,MENINO JESUS,RUA,RUA LIBANO,,10/6/2016,21:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM IPANEMA,RUA,RUA GINO SANCHES PARRA,,6/1/2016,13:30:00
FURTO,JARDIM DAS VIOLETAS,RUA,RUA DOS PIQUIS,45,7/3/2016,00:30:00
FURTO,JD IMPERIAL,RUA,RUA DOS MARFINS,954,7/22/2016,16:00:00
FURTO,JD IMPERIAL,RUA,RUA DOS MARFINS,1516,10/7/2016,20:00:00
FURTO,JD IMPERIAL,RUA,RUA DOS MARFINS,1594,7/23/2016,10:00:00
ROUBO,CENTRO,RUA,RUA DOS LÍRIOS,0,5/26/2016,00:25:00
USO ILÍCITO DE DROGAS,SAO CRISTOVAO,RUA,RUA DOS IMIGRANTES,,11/24/2016,14:00:00
FURTO,BAIRRO DAS VIOLETAS,RUA,RUA DOS GUAPURUVUS JARDIM DAS VIOLETAS,,9/27/2016,14:33:00
FURTO,JARDIM IMPERIAL,RUA,RUA DOS GUANANDIS,255,11/20/2016,03:00:00
FURTO,CENTROS,RUA,RUA DOS ANGICOS,371,12/12/2016,19:00:00
FURTO,JD PRIMAVERA,RUA,RUA DOS ABRICOS,502,8/9/2016,03:00:00
FURTO,JARDIM VIOLETAS,RUA,RUA DAS SUCUPIRAS,989,5/24/2016,04:00:00
ROUBO,ST.COMERCIAL,RUA,RUA DAS NOGUEIRAS,85,9/27/2016,00:10:00
TRÁFICO ILÍCITO DE DROGAS,JD VIOLETAS,RUA,RUA DAS MORANGUEIRAS,657,5/30/2016,17:40:00
FURTO,JARDIM PARAISO,RUA,RUA DAS HORTÊNCIAS,682,12/21/2016,15:20:00
ROUBO,JARDIM DAS PALMEIRAS,RUA,RUA DAS DRACENAS,,7/8/2016,22:00:00
FURTO,JD MARINGA 2,RUA,RUA DAS CEREJEIRAS,2335,7/3/2016,14:34:00
ROUBO,JD MARINGA 2,RUA,RUA DAS CEREJEIRAS,2755,6/26/2016,21:00:00
FURTO,CENTRO,RUA,RUA DAS AVENCAS,2351,7/19/2016,09:45:00
USO ILÍCITO DE DROGAS,JARDIM DAS PALMEIRAS,RUA,RUA DAS AVENCAS,2983,5/21/2016,19:20:00
FURTO,CENTRO,RUA,RUA DAS AVENCAS,,7/1/2016,20:30:00
FURTO,JARDIM DAS PALMEIRAS,RUA,RUA DAS AVENCAS,,11/18/2016,18:00:00
ROUBO,SETOR RESIDENCIAL NORTE,RUA,RUA DAS ARAUCÁRIAS,,12/5/2016,12:25:00
ROUBO,JARDIM AMERICA,RUA,RUA COLONIZADOR JOÃO PEDRO MOREIRA DE CAVALHO,,5/10/2016,22:15:00
ROUBO,SÃO CRISTÓVÃO,RUA,RUA COLONIZADOR ENIO PIPINO,,8/8/2016,14:00:00
FURTO,COMUNIDADE SANTA MONICA,RUA,RUA ALBERTO BARANJAK,470,9/23/2016,09:00:00
FURTO,RESIDENCIAL DELTA,RUA,RUA A,8,6/16/2016,02:00:00
FURTO,LISBOA,RUA,RUA 8,,6/28/2016,16:00:00
FURTO,JARDIM NOVO ESTADO,RUA,RUA 11,2470,11/21/2016,15:30:00
ROUBO,JARDIM NOVO ESTADO,RUA,RUA 11,,6/5/2016,07:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM NOVO ESTADO,RUA,RUA 11,,6/5/2016,07:00:00
ROUBO,BOA ESPERANÇA,RUA,RUA 08,,10/14/2016,07:00:00
ROUBO,JD EUROPA,RUA,RUA 02,1721,7/9/2016,18:00:00
ROUBO,BOM JARDIM,ESTRADA,ROZALIA,,11/18/2016,15:50:00
FURTO,CENTRO,RUA,ROSAS,533,6/28/2016,06:00:00
FURTO,CENTRO,RUA,ROSAS,741,5/18/2016,16:21:00
FURTO,MARIA VINDILINA 2,RUA,ROSÁRIO,2,9/12/2016,13:00:00
HOMICÍDIO DOLOSO,MARIA VINDILINA 2,RUA,ROSÁRIO,,8/4/2016,19:50:00
FURTO,BOM JARDIM,ESTRADA,ROSARIA,,8/2/2016,03:00:00
TRÁFICO ILÍCITO DE DROGAS,MARIA CAROLINE,RUA,ROSANGELA,,8/15/2016,15:20:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM AZALEIAS,RUA,ROSANGELA,,11/14/2016,21:40:00
USO ILÍCITO DE DROGAS,JARDIM AZALEIAS,RUA,ROSANGELA,,11/14/2016,21:40:00
FURTO,JARDIM DAS ROSAS,RUA,ROSALINA ANA LUDWING,,11/10/2016,15:00:00
ROUBO,SAO CRISTOVAO,ESTRADA,ROSALIA,,11/21/2016,20:40:00
FURTO,ZONA RURAL,ESTRADA,ROSA,KM 20,12/17/2016,08:30:00
FURTO,DAURI RIVA,RUA,ROQUE GOMES MOREIRA,,7/22/2016,10:00:00
FURTO,JARDIM ITÁLIA II,RUA,ROMA,100,11/5/2016,
FURTO,JARDIM ITALIA 2,RUA,ROMA,697,10/18/2016,16:00:00
FURTO,JARDIM ITALIA I,RUA,ROMA,1405,11/1/2016,07:30:00
FURTO,JARDIM ITALIA I,RUA,ROMA,1435,11/1/2016,07:30:00
FURTO,JARDIM ITALIA 2,RUA,ROMA,1496,7/22/2016,12:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM UMUARAMA II,RUA,ROLANDIA,,11/23/2016,16:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM TARUMÃS,RUA,ROGERIO SACONI,,7/27/2016,01:45:00
FURTO,RODOVIA,RODOVIA,RODOVIA MT 140,,8/1/2016,00:00:00
FURTO,OURO,RODOVIA,RODOVIA,0,8/1/2016,14:00:00
TRÁFICO ILÍCITO DE DROGAS,MARIA VIDILINA 03,RUA,RIO VERDE,1020,5/11/2016,19:00:00
